"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-10","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410504","1.1.1.1","72.9","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410510","1.1.2.1","17.9","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410516","1.1.3.1","9.2","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Men","Always or often has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410522","1.2.1.1","71.3","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Men","Sometimes has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410528","1.2.2.1","18.6","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Men","Rarely or never has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410534","1.2.3.1","10.0","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Women","Always or often has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410540","1.3.1.1","74.5","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Women","Sometimes has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410546","1.3.2.1","17.1","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Women","Rarely or never has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410552","1.3.3.1","8.4","","","","1"
"2024-10","Atlantic Region","2016A00011","Total, all persons","Always or often has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410558","2.1.1.1","74.2","","","","1"
